cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
5,5005,6,NA,NA,NA,,,,,,,,
5,5005,7,1,1,0,,,,,,,,
5,5005,8,1,0,1,,,,,,,,
5,5005,9,0,0,0,,,,,,,,
5,5006,1,20,18,2,,,,,,,,
5,5006,2,0,0,0,,,,,,,,
5,5006,3,0,0,0,,,,,,,,
5,5006,4,0,0,0,,,,,,,,
5,5006,5,0,0,0,,,,,,,,
5,5006,6,NA,NA,NA,,,,,,,,
5,5006,7,2,2,0,,,,,,,,
5,5006,8,1,0,1,,,,,,,,
5,5006,9,0,0,0,,,,,,,,
5,5007,1,11,8,3,,,,,,,,
5,5007,2,0,0,0,,,,,,,,
5,5007,3,0,0,0,,,,,,,,
5,5007,4,0,0,0,,,,,,,,
5,5007,5,0,0,0,,,,,,,,
5,5007,6,NA,NA,NA,,,,,,,,
5,5007,7,0,0,0,,,,,,,,
5,5007,8,0,0,0,,,,,,,,
5,5007,9,0,0,0,,,,,,,,
5,5008,1,ND,ND,ND,,,,,,,,
5,5008,2,ND,ND,ND,,,,,,,,
5,5008,3,ND,ND,ND,,,,,,,,
5,5008,4,ND,ND,ND,,,,,,,,
5,5008,5,ND,ND,ND,,,,,,,,
5,5008,6,ND,ND,ND,,,,,,,,
5,5008,7,ND,ND,ND,,,,,,,,
5,5008,8,ND,ND,ND,,,,,,,,
5,5008,9,ND,ND,ND,,,,,,,,
5,5009,1,76,62,14,,,,,,,,
5,5009,2,17,11,6,,,,,,,,
5,5009,3,0,0,0,,,,,,,,
5,5009,4,0,0,0,,,,,,,,
5,5009,5,0,0,0,,,,,,,,
5,5009,6,NA,NA,NA,,,,,,,,
5,5009,7,1,1,0,,,,,,,,
5,5009,8,9,4,5,,,,,,,,
5,5009,9,0,0,0,,,,,,,,
5,5010,1,87,75,12,,,,,,,,
5,5010,2,14,13,1,,,,,,,,
5,5010,3,0,0,0,,,,,,,,
5,5010,4,0,0,0,,,,,,,,
5,5010,5,0,0,0,,,,,,,,
5,5010,6,NA,NA,NA,,,,,,,,
5,5010,7,2,2,0,,,,,,,,
5,5010,8,6,0,6,,,,,,,,
5,5010,9,0,0,0,,,,,,,,
5,5011,1,8,7,1,,,,,,,,
5,5011,2,0,0,0,,,,,,,,
5,5011,3,0,0,0,,,,,,,,
5,5011,4,0,0,0,,,,,,,,
5,5011,5,0,0,0,,,,,,,,
5,5011,6,NA,NA,NA,,,,,,,,
5,5011,7,1,0,1,,,,,,,,
5,5011,8,1,0,1,,,,,,,,
5,5011,9,0,0,0,,,,,,,,
5,5012,1,6,6,0,,,,,,,,
5,5012,2,0,0,0,,,,,,,,
5,5012,3,0,0,0,,,,,,,,
5,5012,4,0,0,0,,,,,,,,
5,5012,5,0,0,0,,,,,,,,
5,5012,6,NA,NA,NA,,,,,,,,
5,5012,7,0,0,0,,,,,,,,
5,5012,8,0,0,0,,,,,,,,
5,5012,9,0,0,0,,,,,,,,
5,5013,1,ND,ND,ND,,,,,,,,
5,5013,2,ND,ND,ND,,,,,,,,
5,5013,3,ND,ND,ND,,,,,,,,
5,5013,4,ND,ND,ND,,,,,,,,
5,5013,5,ND,ND,ND,,,,,,,,
5,5013,6,ND,ND,ND,,,,,,,,
5,5013,7,ND,ND,ND,,,,,,,,
5,5013,8,ND,ND,ND,,,,,,,,
5,5013,9,ND,ND,ND,,,,,,,,
5,5014,1,15,12,3,,,,,,,,
5,5014,2,0,0,0,,,,,,,,
5,5014,3,0,0,0,,,,,,,,
5,5014,4,0,0,0,,,,,,,,
5,5014,5,0,0,0,,,,,,,,
5,5014,6,NA,NA,NA,,,,,,,,
5,5014,7,2,2,0,,,,,,,,
5,5014,8,1,0,1,,,,,,,,
5,5014,9,0,0,0,,,,,,,,
5,5015,1,ND,ND,ND,,,,,,,,
